helsinki-hsl,average_response_time,877,9375.7,1000,8984.74,3000,8485.87,5000,9264.09,10000,9475.77,20000,11370.04,30000,15164.02
helsinki-hsl,response_time_p10,877,3907,1000,3904,3000,3861,5000,4316,10000,4368,20000,4606,30000,5331
helsinki-hsl,response_time_p50,877,9090,1000,8735,3000,8400,5000,8752,10000,8733,20000,9477,30000,9982
helsinki-hsl,response_time_p75,877,11264,1000,10862,3000,10909,5000,11333,10000,11209,20000,12250,30000,12631
helsinki-hsl,response_time_p90,877,15436,1000,13880,3000,13494,5000,14332,10000,13815,20000,14573,30000,15729
helsinki-hsl,average_connection_response_time,877,0.17797994142093437,1000,0.16812891253456758,3000,0.16504596229931132,5000,0.18375069564062496,10000,0.19156147141100063,20000,0.24209092216139072,30000,0.34528567923482045
helsinki-hsl,connection_response_time_p90,877,0.3037161579582687,1000,0.29388687704776684,3000,0.2928091050181066,5000,0.31199344714605964,10000,0.31414490930061867,20000,0.363475935828877,30000,0.37568809426322736
helsinki-hsl,average_pages_fetched,877,260.26,1000,248.88,3000,68.9,5000,39.2,10000,20.08,20000,10.89,30000,7.93
helsinki-hsl,pages_fetched_p90,877,490,1000,480,3000,138,5000,74,10000,37,20000,20,30000,14
helsinki-hsl,average_bytes_transferred,877,91548142.05,1000,91505101.22,3000,93180693.37,5000,95039900.11,10000,100092347.2,20000,109177460.68,30000,119886463.35
helsinki-hsl,bytes_transferred_p90,877,177803825,1000,177957341,3000,181378331,5000,179776317,10000,185295265,20000,200667766,30000,211955691
helsinki-hsl,average_scanned_connections,877,76444.05,1000,76444.05,3000,76444.05,5000,76444.05,10000,76444.05,20000,76444.05,30000,76444.05
helsinki-hsl,scanned_connections_p90,877,151478,1000,151478,3000,151478,5000,151478,10000,151478,20000,151478,30000,151478
helsinki-hsl,scanned_connections_std_deviation,877,68355.7284994279,1000,68355.7284994279,3000,68355.7284994279,5000,68355.7284994279,10000,68355.7284994279,20000,68355.7284994279,30000,68355.7284994279
