auckland-waiheke,average_response_time,5,892.33,10,470.59,50,322.6,100,288.94,300,294.36,500,297.28,1000,306.6,3000,393.11,5000,488.19354838709677
auckland-waiheke,response_time_p10,5,253,10,158,50,87,100,67,300,69,500,78,1000,94,3000,139,5000,163
auckland-waiheke,response_time_p50,5,647,10,417,50,303,100,274,300,288,500,281,1000,309,3000,368,5000,365
auckland-waiheke,response_time_p75,5,880,10,557,50,438,100,422,300,430,500,419,1000,419,3000,465,5000,508
auckland-waiheke,response_time_p90,5,1297,10,705,50,548,100,524,300,511,500,501,1000,516,3000,590,5000,616
auckland-waiheke,average_connection_response_time,5,3.1086424936100245,10,1.9689492320984083,50,1.6092318044953025,100,1.5086387735962856,300,1.6067507506554972,500,1.6839842179038584,1000,1.7995094344674172,3000,2.7619138112788892,5000,4.283182241350074
auckland-waiheke,connection_response_time_p90,5,4.5595854922279795,10,3.682926829268293,50,3.242424242424242,100,3.18,300,3.265151515151515,500,3.25,1000,3.340909090909091,3000,4.120967741935484,5000,4.121212121212121
auckland-waiheke,average_pages_fetched,5,169.01,10,84.42,50,18.34,100,10.06,300,4.6,500,3.86,1000,2.82,3000,2.2,5000,2.096774193548387
auckland-waiheke,pages_fetched_p90,5,250,10,124,50,26,100,14,300,6,500,4,1000,4,3000,4,5000,3
auckland-waiheke,average_bytes_transferred,5,724191.92,10,586572.48,50,520051.94,100,553800.13,300,742822.77,500,1024264.29,1000,1427083.11,3000,2891901.6,5000,3271318.4516129033
auckland-waiheke,bytes_transferred_p90,5,1070590,10,865551,50,737806,100,771704,300,971354,500,1075600,1000,2143111,3000,4823859,5000,3764776
auckland-waiheke,average_scanned_connections,5,393.44,10,393.44,50,393.44,100,393.44,300,393.44,500,393.44,1000,393.44,3000,393.44,5000,409.31182795698925
auckland-waiheke,scanned_connections_p90,5,584,10,584,50,584,100,584,300,584,500,584,1000,584,3000,584,5000,605
auckland-waiheke,scanned_connections_std_deviation,5,740.4313650838949,10,740.4313650838949,50,740.4313650838949,100,740.4313650838949,300,740.4313650838949,500,740.4313650838949,1000,740.4313650838949,3000,740.4313650838949,5000,765.3206788484175
